Work Title,Writer 1 Name,Writer 1 IPI,Writer 1 Share %,Publisher 1 Name,Publisher 1 IPI,Publisher 1 Share %,ISRC,ISWC
"Mad World","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628144",""
"Bass Grade Party","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628145",""
"DNB Mjolnir Bloodrave","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628146",""
"Spun-Out","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628147",""
"Jimminy Glitch-It","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628148",""
"Synthetic Halo","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628149",""
"Richard, Oh WOW","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628150",""
"All-In (One Hand)","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628151",""
"A Quick Diddy","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628152",""
"Dear Wanderer WB","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628153",""
"The Special Mama","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628155",""
"8-Bit Sax-Tune","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628156",""
"Poopie on the Floor","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628157",""
"Power-Up, Log-Out","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628158",""
"Control","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628159",""
"Mad World 26","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ7M2628160",""
"Star Spangled Country","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691799",""
"Thirty Years of Valor","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691800",""
"God Bless the USA","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691801",""
"Black Flame","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691802",""
"Neighboorhood Watch","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691803",""
"YMCA Country","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691804",""
"Liberty","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691805",""
"Living in America Country","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691806",""
"American Women","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691807",""
"Return of the MACK Track","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691808",""
"American Girl","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691809",""
"Real American Country","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691810",""
"We Didn't Start the Fire","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691811",""
"America F__K YEA","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZZ772691812",""
"The Oscar Goes To...","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZTBA2607569",""
"Dear Wanderer","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZTBA2607570",""
"The Covenant Jam","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZTBA2607571",""
"Your Local Weather","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZTBA2607572",""
"Weather Report","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QZTBA2607573",""
